erling haaland,"{'Total': 6, 'Num_Correct': 5, 'Num_Wrong': 0}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 6, 'Num_Wrong': 3}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 0, 'Num_Wrong': 8}"
memphis depay,"{'Total': 5, 'Num_Correct': 2, 'Num_Wrong': 2}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 4, 'Num_Wrong': 3}"
Model,VGG-Face
DataSource,TM
DistanceMetric,cosine
Accuracy,38/83 -- 0.4578313253012048

harry kane,"{'Total': 5, 'Num_Correct': 1, 'Num_Wrong': 3}"
lionel messi,"{'Total': 12, 'Num_Correct': 3, 'Num_Wrong': 8}"
manuel neuer,"{'Total': 7, 'Num_Correct': 2, 'Num_Wrong': 4}"
kylian mbappe,"{'Total': 7, 'Num_Correct': 0, 'Num_Wrong': 6}"
mohamed salah,"{'Total': 3, 'Num_Correct': 1, 'Num_Wrong': 1}"
pedri,"{'Total': 8, 'Num_Correct': 1, 'Num_Wrong': 6}"
robert lewandowski,"{'Total': 10, 'Num_Correct': 5, 'Num_Wrong': 4}"
marcus rashford,"{'Total': 5, 'Num_Correct': 1, 'Num_Wrong': 4}"
erling haaland,"{'Total': 6, 'Num_Correct': 5, 'Num_Wrong': 0}"
bruno fernandes,"{'Total': 10, 'Num_Correct': 6, 'Num_Wrong': 3}"
romelu lukaku,"{'Total': 9, 'Num_Correct': 0, 'Num_Wrong': 8}"
memphis depay,"{'Total': 5, 'Num_Correct': 2, 'Num_Wrong': 2}"
cristiano ronaldo,"{'Total': 8, 'Num_Correct': 3, 'Num_Wrong': 4}"
Model,VGG-Face
DataSource,TM
DistanceMetric,euclidean
Accuracy,30/83 -- 0.3614457831325301

harry kane,"{'Total': 5, 'Num_Correct': 0, 'Num_Wrong': 4}"
lionel messi,"{'Total': 12, 'Num_Correct': 2, 'Num_Wrong': 9}"
manuel neuer,"{'Total': 7, 'Num_Correct': 3, 'Num_Wrong': 3}"
